place;phase;hackett_class;golvin_class;vasa_class;t_building;dinasty_gr;overall_max;overall_min;overall_m2;arena_max;arena_min;arena_m2;cavea_wide;cavea_height;cavea_m2;seat_est;mod_country;lat;long;elevation_m;bib
kunzing_quintana;;rae#1;;rae#01;amphitheater;1st_century;34.6;29.6;;;;;;;;;germany;48.66705;13.08283;309;2009_sommer
kunzing_quintana;;rae#1;;rae#01;amphitheater;1st_century;35;30;824.66;;;;;;;;germany;48.66705;13.08283;309;2019_hackett
unterkirchberg;;rae#2;;rae#02;amphitheater;undated;47;47;1734.94;;;;;;;;germany;;;;2019_hackett
dambach;;gersup#7;;rae#03;oval_structure;undated;;;35;28;769.69;;;;;;germany;49.104033;10.58318;462;2019_hackett
dambach;;gersup#7;;rae#03;oval_structure;undated;;;35;28;;;;;;;germany;49.104033;10.58318;462;2016_stelius
dambach;;gersup#7;;rae#03;oval_structure;undated;49.5;48.5;32;28;;;;;;;germany;49.104033;10.58318;462;2011_amphitheatrum_de
dambach;;gersup#7;;rae#03;oval_structure;undated;49.5;48.5;32;28;;;;;;;germany;49.104033;10.58318;462;2020_wikipedia_de
