place;phase;hackett_class;golvin_class;vasa_class;t_building;dinasty_gr;overall_max;overall_min;overall_m2;arena_max;arena_min;arena_m2;cavea_wide;cavea_height;cavea_m2;seat_est;mod_country;lat;long;elevation_m;bib
dura_europos;;;#129;syr#01;amphitheater;severan;;;;36;29;;;;;;syria;34.749855;40.728926;223;2009_sommer
dura_europos;;;#129;syr#01;amphitheater;severan;50;44;;31;25;;;;;1000;syria;34.749855;40.728926;223;2016_sfsheath_com
antioch_orontes;;;;syr#02;amphitheater;caesarian;;;;;;;;;;;syria;;;;2009_dodge
berytus;;;;syr#03;amphitheater;augustan;;;;;;;;;;;lebanon;;;;2009_dodge
canatha;;;;syr#04;amphitheater;undated;;;;;;;;;;;syria;;;;2009_dodge
palmyra;;;;syr#05;amphitheater;undated;;;;;;;;;;;syria;34.553789;38.273763;408;2016_sfsheath_com
