place;phase;hackett_class;golvin_class;vasa_class;t_building;dinasty_gr;overall_max;overall_min;overall_m2;arena_max;arena_min;arena_m2;cavea_wide;cavea_height;cavea_m2;seat_est;mod_country;lat;long;elevation_m;bib
patras;;;;asia#01;amphitheater;undated;;;;;;;;;;;greece;;;;2009_dodge
corinth;;;#126;asia#01;amphitheater;caesarean ;;;;78;52;;;;;;greece;37.909629;22.892126;96;2009_dodge
corinth;;;#126;asia#01;amphitheater;caesarean ;;;;78;52;;;;;;greece;37.909629;22.892126;96;1999_welch
corinth;;;#126;asia#01;amphitheater;caesarean ;;;;75.48;56.24;;;;;;greece;37.909629;22.892126;96;1877_lampros
corinth;;;#126;asia#01;amphitheater;caesarean ;100;70;;79;52;;;;;;greece;37.909629;22.892126;96;2020_ascsa_edu
corinth;;;#126;asia#01;amphitheater;caesarean ;98;70;;58;30;;;;;14000;greece;37.909629;22.892126;96;2016_sfsheath_com
