place;phase;hackett_class;golvin_class;vasa_class;t_building;dinasty_gr;overall_max;overall_min;overall_m2;arena_max;arena_min;arena_m2;cavea_wide;cavea_height;cavea_m2;seat_est;mod_country;lat;long;elevation_m;bib
burnum;;dal#1;;dalm#1;amphitheater;late_1st;;;;44;33;1140.39;;;;;croatia;44.019098;16.018169;251;2007_glavicic
burnum;;dal#1;;dalm#1;amphitheater;late_1st;;;;50;47;;;;;;croatia;44.019098;16.018169;251;2006_cambi
burnum;;dal#1;;dalm#1;amphitheater;late_1st;80;65;;43;32;;;;;;croatia;44.019098;16.018169;251;2016_sfsheath_com
salona;;dal#2;#181;dalm#2;amphitheater;late_2nd;125.3;102.42;;63.6;43.42;;;;;16000;croatia;43.5381718;16.473893;11;2008_jelicic
salona;;dal#2;#181;dalm#2;amphitheater;late_2nd;125;101;;64;40;;;;7905;17000;croatia;43.5381718;16.473893;11;2016_stelius
salona;;dal#2;#181;dalm#2;amphitheater;late_2nd;124.75;100.65;9861.52;;;2030.14;;;7831.38;25172;croatia;43.5381718;16.473893;11;2019_hackett
salona;;dal#2;#181;dalm#2;amphitheater;late_2nd;124.75;100.65;;64.3;40.2;;;;;13380;croatia;43.5381718;16.473893;11;2016_sfsheath_com
salona;;dal#2;#181;dalm#2;amphitheater;late_2nd;124.8;100.7;;64.3;40.2;;;;;;croatia;43.5381718;16.473893;11;1993_wilson
