place;phase;hackett_class;golvin_class;vasa_class;t_building;dinasty_gr;overall_max;overall_min;overall_m2;arena_max;arena_min;arena_m2;cavea_wide;cavea_height;cavea_m2;seat_est;mod_country;lat;long;elevation_m;bib
serdica;;;;thr#01;amphitheater;2nd_century;;;;60;43;;;;;;bulgary;42.697222;23.328333;562;2009_dodge
serdica;;;;thr#01;amphitheater;2nd_century;;;;60.5;43;;;;;20000;bulgary;42.697222;23.328333;562;2016_sfsheath_com
serdica;;;;thr#01;amphitheater;2nd_century;;;;60;43;;;;;20000;bulgary;42.697222;23.328333;562;2020_wikipedia_fr
serdica;;;;thr#01;amphitheater;2nd_century;;;;60;43;;;;;25000;bulgary;42.697222;23.328333;562;2020_wikipedia_fr
diocletianopolis;;;;thr#02;amphitheater;principate;;;;;;;;;;;bulgary;42.500069;24.703081;361;2009_dodge
byzatium;;;;thr#03;amphitheater;severan;;;;;;;;;;;turkey;41.014686;28.985442;34;2011_amphitheatrum_de
