place;phase;hackett_class;golvin_class;vasa_class;t_building;dinasty_gr;overall_max;overall_min;overall_m2;arena_max;arena_min;arena_m2;cavea_wide;cavea_height;cavea_m2;seat_est;mod_country;lat;long;elevation_m;bib
marcianopolis;;;#127;moeinf#01;amphitheater;trajanic;70;60;;;;;;;;;bulgary;43.228814;27.586139;26;2009_dodge
marcianopolis;;;#127;moeinf#01;amphitheater;trajanic;70;60;;50;40;;;;;4000;bulgary;43.228814;27.586139;26;2016_sfsheath_com
viminacium;;;;moesup#01;amphitheater;2nd_century;85;;;;;;;;;12000;serbia;44.737985;21.220083;71;2016_sfsheath_com
viminacium;;;;moesup#01;amphitheater;2nd_century;84;74;;55;45;;;;;;serbia;44.737985;21.220083;71;2011_amphitheatrum_de
viminacium;;;;moesup#01;amphitheater;2nd_century;;;;;;;;;;12000;serbia;44.737985;21.220083;71;2020_wikipedia_it
