place;phase;hackett_class;golvin_class;vasa_class;t_building;dinasty_gr;overall_max;overall_min;overall_m2;arena_max;arena_min;arena_m2;cavea_wide;cavea_height;cavea_m2;seat_est;mod_country;lat;long;elevation_m;bib
segusium;;alpc#1;#15;acot#01;amphitheater;augustan;60;52;2450.44;;;1244.07;;;1206.37;3878;italy;45.133185;7.04497;529;2019_hackett
segusium;;alpc#1;#15;acot#01;amphitheater;augustan;60;52;;44;36;;;;1206;;italy;45.133185;7.04497;529;2016_stelius
segusium;;alpc#1;#15;acot#01;amphitheater;augustan;60;52;;44;36;;;;;3015;italy;45.133185;7.04497;529;2016_sfsheath_com
octodurus;;alppoe#1;;apoe#01;amphitheater;claudian;118;106;;74;62;;;;6220;;switzerland ;46.094356;7.073493;481;2016_stelius
octodurus;;alppoe#1;;apoe#01;amphitheater;claudian;118;106;9823.76;;;3603.4;;;6220.36;15594;switzerland ;46.094356;7.073493;481;2019_hackett
octodurus;;alppoe#1;;apoe#01;amphitheater;claudian;118;106;;74;62;;;;;15550;switzerland ;46.094356;7.073493;481;2016_sfsheath_com
