place;phase;hackett_class;golvin_class;vasa_class;t_building;dinasty_gr;overall_max;overall_min;overall_m2;arena_max;arena_min;arena_m2;cavea_wide;cavea_height;cavea_m2;seat_est;mod_country;lat;long;elevation_m;bib
dyrrachium;;;;mace#01;amphitheater;trajanic;132.4;113.2;;61.4;42.2;;;;;;albania;41.312222;19.444867;14;2005_boschetti
dyrrachium;;;;mace#01;amphitheater;trajanic;132.4;113.2;;61.4;42.2;;;;;20000;albania;41.312222;19.444867;14;2016_sfsheath_com
dyrrachium;;;;mace#01;amphitheater;trajanic;132;113;;61;42;;;20;;15000;albania;41.312222;19.444867;14;2020_wikipedia_fr
dyrrachium;;;;mace#01;amphitheater;trajanic;132;113;;61;42;;;20;;20000;albania;41.312222;19.444867;14;2020_wikipedia_fr
